epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
44,1183.9,2.04215,4.75732,6.34071,0.02366,0.84642,0.41356,0.02513,0.00842,0.00154,0.00049,0.02021,0.0052,0.00031,0.0001,1.97288,4.68811,6.54388,0.02527,0,0,0.000511367,0.000511367,0.000511367
45,1211.05,2.036,4.77475,6.34204,0.02351,0.84243,0.41116,0.0264,0.00831,0.00158,0.00048,0.01931,0.00444,0.00024,0.0001,1.97476,4.67188,6.54108,0.02526,0,0,0.000506654,0.000506654,0.000506654
46,1237.23,2.02942,4.77652,6.32336,0.02348,0.84232,0.41139,0.02705,0.00855,0.00166,0.0005,0.02051,0.00466,0.00024,9e-05,1.97412,4.71461,6.53102,0.02525,0,0,0.000501942,0.000501942,0.000501942
47,1264.2,2.03233,4.78049,6.33586,0.02342,0.84097,0.41059,0.02617,0.00833,0.00187,0.00064,0.02081,0.00487,0.00028,0.0001,1.97339,4.70715,6.55023,0.02524,0,0,0.00049723,0.00049723,0.00049723
48,1291.36,2.04038,4.77045,6.33312,0.02351,0.84574,0.41326,0.026,0.00876,0.00168,0.00051,0.02065,0.00578,0.00026,0.0001,1.97674,4.69464,6.55444,0.02526,0,0,0.000492517,0.000492517,0.000492517
49,1318.41,2.03622,4.78359,6.33901,0.02378,0.85401,0.41129,0.02777,0.00805,0.00179,0.00064,0.02167,0.00475,0.00024,0.0001,1.97816,4.72926,6.57219,0.02526,0,0,0.000487805,0.000487805,0.000487805
50,1345.62,2.04895,4.77282,6.33815,0.02359,0.83636,0.41061,0.02535,0.0075,0.00168,0.00051,0.02002,0.00464,0.00024,0.0001,1.97722,4.7039,6.56449,0.02535,0,0,0.000483092,0.000483092,0.000483092
51,1372.81,2.03252,4.76789,6.34175,0.02342,0.8412,0.41054,0.02694,0.00784,0.00178,0.00063,0.0211,0.00476,0.00025,0.0001,1.97038,4.68798,6.55085,0.02515,0,0,0.00047838,0.00047838,0.00047838
52,1399.86,2.04294,4.74496,6.34583,0.0235,0.84255,0.41138,0.02583,0.00818,0.00194,0.00063,0.02156,0.00577,0.00025,0.0001,1.97095,4.68142,6.54854,0.0252,0,0,0.000473668,0.000473668,0.000473668
53,1426.68,2.0342,4.76863,6.33712,0.02355,0.85031,0.40975,0.02584,0.00794,0.00191,0.00063,0.02002,0.0044,0.00024,0.0001,1.97515,4.71638,6.56154,0.0252,0,0,0.000468955,0.000468955,0.000468955
54,1453.61,2.03914,4.77668,6.3283,0.02355,0.84838,0.41052,0.02744,0.00847,0.00172,0.00053,0.02093,0.00497,0.00024,9e-05,1.97109,4.68855,6.55946,0.02519,0,0,0.000464243,0.000464243,0.000464243
55,1480.78,2.04152,4.7779,6.33907,0.02367,0.84984,0.41087,0.0255,0.00742,0.00147,0.00048,0.02043,0.00442,0.00024,0.0001,1.97229,4.6897,6.57187,0.02521,0,0,0.00045953,0.00045953,0.00045953
