epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/depth_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/depth_loss,lr/pg0,lr/pg1,lr/pg2
79,813.837,1.33768,3.52697,1.40809,0.01255,6.34062,0.71758,0.22804,0.34101,0.18988,0.10128,0.18614,0.26703,0.14102,0.0568,1.4086,3.66128,1.74772,0.01534,0,0,0.000346433,0.000346433,0.000346433
80,826.358,1.33502,3.50982,1.40585,0.01259,6.33989,0.71827,0.22817,0.35659,0.1954,0.10424,0.18626,0.27533,0.14301,0.05718,1.40998,3.6365,1.74971,0.01531,0,0,0.00034172,0.00034172,0.00034172
81,839.028,1.32326,3.49699,1.38236,0.01225,6.3406,0.72249,0.24582,0.33461,0.18309,0.0975,0.20101,0.25579,0.1345,0.05493,1.40439,3.64585,1.76551,0.01534,0,0,0.000337008,0.000337008,0.000337008
82,851.596,1.32081,3.4791,1.37887,0.01244,6.33993,0.71401,0.24558,0.34938,0.19745,0.10603,0.20135,0.26978,0.14518,0.05989,1.40062,3.63916,1.75419,0.01525,0,0,0.000332296,0.000332296,0.000332296
83,864.436,1.31277,3.46216,1.36166,0.01213,6.3404,0.71514,0.23678,0.32873,0.18806,0.09957,0.19233,0.25391,0.13611,0.05521,1.40367,3.6337,1.74756,0.01521,0,0,0.000327583,0.000327583,0.000327583
84,877.084,1.30944,3.4537,1.36043,0.01202,6.3408,0.71399,0.2281,0.34524,0.19384,0.10345,0.18789,0.27119,0.14467,0.0599,1.40846,3.61184,1.74491,0.01531,0,0,0.000322871,0.000322871,0.000322871
85,889.884,1.30503,3.44029,1.3497,0.01202,6.34029,0.71283,0.23486,0.34259,0.18936,0.09858,0.19513,0.2651,0.13845,0.05619,1.40149,3.62616,1.7453,0.01516,0,0,0.000318158,0.000318158,0.000318158
86,902.574,1.30725,3.43487,1.33585,0.01201,6.3396,0.70733,0.22555,0.3456,0.18752,0.09795,0.18609,0.26705,0.14221,0.05748,1.41252,3.61612,1.75391,0.01536,0,0,0.000313446,0.000313446,0.000313446
87,915.058,1.30465,3.43085,1.3312,0.01203,6.33958,0.70883,0.23987,0.33505,0.18882,0.09623,0.19513,0.25519,0.13531,0.05601,1.40836,3.62283,1.75307,0.01529,0,0,0.000308734,0.000308734,0.000308734
88,927.593,1.29454,3.41565,1.31278,0.01171,6.33995,0.69859,0.24736,0.32106,0.17848,0.09055,0.20599,0.25028,0.13055,0.0521,1.40492,3.60895,1.74932,0.01518,0,0,0.000304021,0.000304021,0.000304021
89,940.273,1.29271,3.38019,1.30682,0.01201,6.33885,0.69977,0.24632,0.32458,0.18672,0.09754,0.20552,0.25354,0.13746,0.05696,1.4225,3.60683,1.75485,0.0156,0,0,0.000299309,0.000299309,0.000299309
90,953.096,1.29537,3.38488,1.29992,0.01197,6.33893,0.70477,0.23073,0.32255,0.18171,0.09327,0.1961,0.25704,0.13526,0.05378,1.40643,3.59868,1.75545,0.01529,0,0,0.000294596,0.000294596,0.000294596
91,965.576,1.27817,3.36637,1.28328,0.01177,6.33851,0.70346,0.25115,0.30156,0.1739,0.08842,0.20739,0.2364,0.12514,0.05128,1.42925,3.61166,1.78609,0.01573,0,0,0.000289884,0.000289884,0.000289884
92,978.278,1.27402,3.33911,1.26798,0.01174,6.33788,0.70001,0.24718,0.31599,0.17727,0.08955,0.20567,0.24578,0.12599,0.05104,1.40956,3.59754,1.76473,0.01531,0,0,0.000285172,0.000285172,0.000285172
93,990.899,1.28011,3.35304,1.27878,0.01171,6.33816,0.70513,0.2533,0.2996,0.17599,0.08959,0.21349,0.24039,0.13166,0.05206,1.42644,3.59395,1.76819,0.01555,0,0,0.000280459,0.000280459,0.000280459
94,1003.69,1.27837,3.34104,1.27741,0.01176,6.33747,0.7022,0.2499,0.30693,0.17875,0.08935,0.21415,0.24757,0.13337,0.05454,1.44164,3.60011,1.77713,0.01575,0,0,0.000275747,0.000275747,0.000275747
95,1016.34,1.27209,3.31585,1.26054,0.01163,6.3383,0.69867,0.25184,0.29947,0.17381,0.0891,0.21279,0.23259,0.12504,0.05174,1.41307,3.58519,1.78413,0.01542,0,0,0.000271034,0.000271034,0.000271034
96,1028.74,1.26117,3.31152,1.24141,0.01147,6.3384,0.69586,0.24075,0.31284,0.17771,0.09179,0.20426,0.25166,0.13103,0.05266,1.41225,3.57935,1.76569,0.01538,0,0,0.000266322,0.000266322,0.000266322
97,1041.34,1.26322,3.30926,1.24605,0.01136,6.33826,0.69756,0.26348,0.30101,0.17596,0.08885,0.22143,0.23918,0.12779,0.05226,1.41673,3.60264,1.79305,0.01545,0,0,0.00026161,0.00026161,0.00026161
98,1054.13,1.26083,3.2992,1.23566,0.01147,6.33773,0.69326,0.24412,0.30096,0.17665,0.09066,0.20319,0.24152,0.13212,0.05262,1.4126,3.57159,1.77221,0.01534,0,0,0.000256897,0.000256897,0.000256897
99,1066.9,1.26204,3.29509,1.22799,0.01142,6.33803,0.69325,0.24673,0.29832,0.17163,0.08801,0.21233,0.24218,0.12945,0.05092,1.41983,3.5749,1.76709,0.01546,0,0,0.000252185,0.000252185,0.000252185
100,1079.55,1.25526,3.28272,1.22066,0.01141,6.33702,0.69756,0.2608,0.28468,0.16648,0.08517,0.22414,0.22889,0.12669,0.05025,1.42395,3.59433,1.79795,0.01556,0,0,0.000247472,0.000247472,0.000247472
101,1092.13,1.25536,3.27823,1.21174,0.01129,6.33734,0.68763,0.26405,0.28175,0.16749,0.08598,0.22685,0.22841,0.12776,0.05032,1.42241,3.60295,1.80221,0.01549,0,0,0.00024276,0.00024276,0.00024276
102,1105.19,1.24886,3.26065,1.20027,0.01132,6.33698,0.69196,0.26988,0.29407,0.17102,0.0886,0.23089,0.23566,0.12683,0.05138,1.41648,3.56776,1.77265,0.01543,0,0,0.000238048,0.000238048,0.000238048
103,1117.94,1.241,3.2493,1.19295,0.0113,6.33662,0.68755,0.26004,0.29272,0.17406,0.08874,0.22162,0.23524,0.13022,0.05201,1.41596,3.59303,1.7735,0.01543,0,0,0.000233335,0.000233335,0.000233335
104,1130.41,1.23526,3.23205,1.18595,0.01124,6.33628,0.68237,0.26674,0.28355,0.16869,0.08547,0.22545,0.22667,0.12333,0.05004,1.4197,3.57909,1.77285,0.01558,0,0,0.000228623,0.000228623,0.000228623
105,1142.97,1.22969,3.23374,1.17716,0.01115,6.33641,0.69376,0.25545,0.29178,0.17382,0.08915,0.21488,0.23296,0.1294,0.05226,1.41695,3.55807,1.77416,0.01558,0,0,0.00022391,0.00022391,0.00022391
106,1155.55,1.24222,3.23093,1.17323,0.01127,6.33712,0.68253,0.26353,0.28917,0.178,0.08981,0.2232,0.23118,0.12972,0.05187,1.42876,3.58221,1.79622,0.01569,0,0,0.000219198,0.000219198,0.000219198
107,1168.23,1.22333,3.21695,1.16058,0.01101,6.3369,0.68306,0.27043,0.28581,0.16795,0.08497,0.23283,0.23223,0.12681,0.04956,1.42513,3.58971,1.79812,0.0156,0,0,0.000214486,0.000214486,0.000214486
108,1181.02,1.22274,3.21214,1.15945,0.01099,6.33688,0.68785,0.26528,0.27197,0.16485,0.08295,0.22949,0.21909,0.12357,0.05053,1.42493,3.57649,1.78343,0.01574,0,0,0.000209773,0.000209773,0.000209773
109,1193.81,1.2334,3.19697,1.16039,0.0112,6.33634,0.68307,0.28211,0.28253,0.17287,0.08569,0.24404,0.22993,0.13026,0.05147,1.43189,3.57794,1.79213,0.01575,0,0,0.000205061,0.000205061,0.000205061
110,1206.59,1.22397,3.19755,1.1509,0.01084,6.33744,0.68363,0.26879,0.27257,0.1644,0.08153,0.23134,0.2212,0.12708,0.04939,1.42994,3.592,1.7946,0.01571,0,0,0.000200348,0.000200348,0.000200348
111,1219.65,1.21443,3.19058,1.14096,0.0109,6.33655,0.678,0.27379,0.27519,0.17169,0.08623,0.22932,0.21676,0.12244,0.05103,1.42569,3.57771,1.80631,0.01566,0,0,0.000195636,0.000195636,0.000195636
